subj_idx,go,s,c,r,rt
5,0,2,0,0,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,1,NaN
5,0,2,0,0,NaN
5,0,2,0,1,NaN
6,1,1,1,1,0.8157
6,1,1,0,0,NaN
6,1,1,0,1,NaN
6,1,1,0,0,NaN
6,1,1,0,1,NaN
6,1,1,0,0,NaN
6,1,1,0,0,NaN
6,1,1,0,0,NaN
6,1,1,0,0,NaN
6,1,1,1,1,0.85584
6,1,1,1,1,1.3512
6,1,1,1,1,1.1772
6,1,1,0,0,NaN
6,1,1,1,1,0.896
6,1,1,1,1,1.6191
6,1,1,1,0,1.619
6,1,1,0,0,NaN
6,1,1,1,1,0.58808
6,1,1,0,0,NaN
6,1,1,1,0,0.56121
6,1,1,1,1,0.58805
6,1,1,1,1,0.29351
6,1,1,1,0,0.45424
6,1,1,1,1,1.592
6,1,1,1,1,0.6015
6,1,1,1,1,0.94957
6,1,1,1,0,1.7261
6,1,1,1,1,1.204
6,1,1,1,1,1.0969
6,1,1,1,1,1.4717
6,1,1,1,1,1.4583
6,1,1,1,0,0.77556
6,1,1,1,1,0.65563
6,1,1,1,1,0.70863
6,1,1,1,1,0.45403
6,1,1,1,0,0.3605
6,1,1,1,1,0.52113
6,1,1,1,1,1.4315
6,1,1,1,1,0.3871
6,1,1,0,0,NaN
6,1,1,1,1,0.76215
6,1,1,1,1,0.37392
6,1,1,1,1,0.61494
6,1,1,1,0,1.3645
6,1,1,1,0,0.37386
6,1,1,1,1,1.0164
6,1,1,0,0,NaN
6,1,1,1,1,0.68149
6,1,1,1,1,0.45425
6,1,1,1,1,1.4582
6,1,1,1,1,0.85584
6,1,1,1,1,0.32023
6,1,1,1,1,0.30693
6,1,1,1,1,0.80234
6,1,1,1,0,0.66827
6,1,1,0,0,NaN
6,1,1,1,1,0.37391
6,1,1,1,1,0.77552
6,1,1,1,1,0.29356
6,1,1,1,0,1.2306
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,0,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,1,1,1.2575
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,0,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,0,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,0,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,0,NaN
6,0,2,0,1,NaN
6,0,2,0,1,NaN
6,0,2,0,0,NaN
6,0,2,0,1,NaN
